Unnamed: 0,latitude,longitude,bounding_box,class,tile_id,parent_tile_id,zone,epsg,utm_easting,utm_northing,pixel_row,pixel_col,within_tile_bounds,coverage_ratio
0,25.78219989847472,73.32243100156258,"73.32239329499252,25.78223331750441,73.32246870813263,25.782166479445035",Aegle Marmelos,zone32643_r28_c3_sr2_sc1,zone32643_r28_c3,43,32643,331789.39062393387,2852635.4999994044,736,1178,True,1.0
1,26.49909522839114,74.38427999849463,"74.38424386546373,26.49913795985545,74.38431613152552,26.49905249692683",Prosopis cineraria,zone32643_r29_c4_sr1_sc1,zone32643_r29_c4,43,32643,438642.1718736602,2931104.4999994603,889,1864,True,1.0
2,26.49901680373101,74.38415247447062,"74.38412996354847,26.499033635809365,74.38417498539279,26.498999971652655",Vachellia nilotica,zone32643_r29_c4_sr1_sc1,zone32643_r29_c4,43,32643,438629.42187467235,2931095.874999796,890,1862,True,1.0
3,26.5054630374269,74.42153985167343,"74.42149457939382,26.505517027572136,74.42158512395304,26.505409047281663",prosopis juliflora,zone32643_r29_c4_sr1_sc2,zone32643_r29_c4,43,32643,442358.4531228768,2931792.499999153,820,235,True,1.0
4,26.505500835605595,74.42139807102505,"74.42138137130037,26.50551656854429,74.42141477074973,26.505485102666903",prosopis juliflora,zone32643_r29_c4_sr1_sc2,zone32643_r29_c4,43,32643,442344.34374977206,2931796.749999887,820,234,True,1.0
5,28.20120507573192,75.34045121509678,"75.34040865062708,28.20123790428923,75.34049377956646,28.2011722471746",Prosopis cineraria,zone32643_r31_c5_sr0_sc1,zone32643_r31_c5,43,32643,533411.7499987242,3119538.1249992675,46,1341,True,1.0
6,26.521862029016205,74.4188094148237,"74.41878265312698,26.52188223504275,74.41883617652043,26.52184182298966",Prosopis cineraria,zone32643_r29_c4_sr1_sc2,zone32643_r29_c4,43,32643,442094.5937495328,2933609.999999712,639,209,True,1.0
7,26.52174556737016,74.41875683820436,"74.41871574340104,26.521778129746167,74.41879793300767,26.521713004994137",Prosopis cineraria,zone32643_r29_c4_sr1_sc2,zone32643_r29_c4,43,32643,442089.2968738456,2933597.124999321,640,208,True,1.0
8,26.99254820933988,75.74453217824734,"75.74451404636747,26.992568618491212,75.74455031012721,26.992527800188537",Dalbergia sissoo,zone32643_r29_c5_sr4_sc3,zone32643_r29_c5,43,32643,573874.9999996785,2985827.749999874,1417,1387,True,1.0
9,26.99252852594669,75.74462652926294,"75.74460396616892,26.992545572969107,75.74464909235698,26.992511478924275",Vachellia nilotica,zone32643_r29_c5_sr4_sc3,zone32643_r29_c5,43,32643,573884.374999661,2985825.6249998026,1417,1388,True,1.0
10,28.25114698822861,75.366010565734,"75.365969306188,28.251192233022877,75.36605182527998,28.251101743434344",Prosopis cineraria,zone32643_r31_c5_sr1_sc1,zone32643_r31_c5,43,32643,535903.4374982989,3125077.9999993057,1492,1590,True,1.0
11,25.77652820021001,73.33322704872097,"73.33318856805474,25.776561613379368,73.3332655293872,25.776494787040647",Azadirachta indica,zone32643_r28_c3_sr2_sc1,zone32643_r28_c3,43,32643,332864.15624891245,2851993.4999993825,800,1286,True,1.0
12,26.98740408299872,75.74566257675644,"75.74563289092774,26.98743922418628,75.74569226258517,26.98736894181117",saraca asoca,zone32643_r29_c5_sr4_sc3,zone32643_r29_c5,43,32643,573990.5312490916,2985258.6249996587,1474,1399,True,1.0
13,27.34728229946513,76.6449796077251,"76.64493029186147,27.34732236910849,76.64502892358874,27.347242229821784",Azadirachta indica,zone32643_r30_c6_sr1_sc3,zone32643_r30_c6,43,32643,662715.6249982473,3025974.1249990854,1402,271,True,1.0
14,25.7817515242507,73.34962454386744,"73.34955486312046,25.78179925800688,73.34969422461441,25.781703790494525",Pongamia pinnata,zone32643_r28_c3_sr2_sc1,zone32643_r28_c3,43,32643,334515.95312221855,2852551.374998017,744,1451,True,1.0
15,25.78156849697864,73.3495061755344,"73.34947321212087,25.781597463258045,73.34953913894795,25.78153953069922",Azadirachta indica,zone32643_r28_c3_sr2_sc1,zone32643_r28_c3,43,32643,334503.8281241918,2852531.249999548,746,1450,True,1.0
16,25.78170981151319,73.34952868020446,"73.34949317787543,25.781730849673554,73.34956418253347,25.781688773352823",Aegle Marmelos,zone32643_r28_c3_sr2_sc1,zone32643_r28_c3,43,32643,334506.28124938114,2852546.8749994896,745,1450,True,1.0
17,26.5039786348876,74.41235886781331,"74.41233887439634,26.50399435319495,74.41237886123028,26.50396291658025",Vachellia nilotica,zone32643_r29_c4_sr1_sc2,zone32643_r29_c4,43,32643,441442.82812472957,2931632.249999839,836,144,True,1.0
18,26.503997021032333,74.41243858490643,"74.41240522942728,26.504019456035458,74.41247194038559,26.50397458602921",Prosopis cineraria,zone32643_r29_c4_sr1_sc2,zone32643_r29_c4,43,32643,441450.7812493541,2931634.2499995553,836,145,True,1.0
19,26.50782157300241,74.42119341908801,"74.42115577961593,26.507854150230273,74.42123105856008,26.50778899577455",prosopis juliflora,zone32643_r29_c4_sr1_sc2,zone32643_r29_c4,43,32643,442325.1093739405,2932053.8749994277,794,232,True,1.0
20,28.2462787516858,75.31842786162308,"75.31839868202955,28.246321697403722,75.3184570412166,28.24623580596788",Azadirachta indica,zone32643_r31_c5_sr1_sc1,zone32643_r31_c5,43,32643,531237.2499988592,3124525.499999647,1547,1123,True,1.0
21,26.82901145477541,75.82762335832228,"75.82758307120814,26.829050060494396,75.82766364543642,26.828972849056424",Moringa oleifera,zone32643_r29_c5_sr3_sc4,zone32643_r29_c5,43,32643,582238.3437486495,2967764.9999993793,1223,223,True,1.0
22,25.413086073098075,75.39087775155727,"75.3908489344205,25.413110983470098,75.39090656869404,25.413061162726052",Prosopis cineraria,zone32643_r28_c5_sr0_sc1,zone32643_r28_c5,43,32643,539310.6562494059,2810746.9999996885,925,1931,True,1.0
23,26.99252852095418,75.74462747403635,"75.74460585571572,26.992545562984088,75.74464909235698,26.992511478924275",Vachellia nilotica,zone32643_r29_c5_sr4_sc3,zone32643_r29_c5,43,32643,573884.4687496778,2985825.62499982,1417,1388,True,1.0
24,26.992548206011776,75.74453280809618,"75.74451404636747,26.992568618491212,75.74455156982488,26.992527793532343",Albizia procera,zone32643_r29_c5_sr4_sc3,zone32643_r29_c5,43,32643,573875.0624996666,2985827.749999864,1417,1387,True,1.0
25,26.992659692553843,75.74457763313066,"75.74454892011721,26.992699342449292,75.7446063461441,26.992620042658398",Albizia procera,zone32643_r29_c5_sr4_sc3,zone32643_r29_c5,43,32643,573879.4374990138,2985840.12499968,1415,1387,True,1.0
26,26.84331524309175,75.77674227997082,"75.7766771318322,26.84335509967493,75.77680742810944,26.843275386508573",Azadirachta indica,zone32643_r29_c5_sr3_sc3,zone32643_r29_c5,43,32643,577172.5624977213,2969317.3749983665,1068,1717,True,1.0
